DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
BARKIPS1,UN,0.6,MAXAVAIL,140.673197518728,59.7125014761106,159.874214410991,15493.8,12917.32,16600,35
DRYCGT1,UN,0.6,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.6,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.6,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.6,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.6,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.6,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.6,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.6,MAXAVAIL,101.083459408292,2.70131518406092,138.976821131214,14244.2,349.8875,16595.02,30
TORRB2,UP,0.6,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.6,MAXAVAIL,92.5927314308961,2.86817837992134,133.189508091197,15490.7,349.8875,16595.02,34
TORRB3,UP,0.6,MAXAVAIL,124.447823318106,88.3943426264692,140.277935097759,16042.86,15490.7,16595.02,34
TORRB3,DN,0.6,MAXAVAIL,121.358051966162,91.8507976755856,140.277935097759,15490.7,15294.595,16595.02,31
TORRB3,DP,0.6,MAXAVAIL,127.537594670049,83.4540200667317,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.6,MAXAVAIL,109.743225792626,15.349213852704,135.073479231579,15490.7,3649.3025,16595.02,34
TORRB4,UP,0.6,MAXAVAIL,127.537594670049,68.9578854855124,145.409380142334,15490.7,15098.49,16595.02,33
TORRB4,DP,0.6,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.6,MAXAVAIL,121.358051966162,23.4044859860306,140.277935097759,15490.7,6737.675,16595.02,31
BARKIPS1,UN,0.65,MAXAVAIL,143.499643422771,59.7125014761106,165.100203888806,15493.8,12917.32,16600,35
DRYCGT1,UN,0.65,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.65,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.65,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.65,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.65,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.65,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.65,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.65,MAXAVAIL,118.309041808419,2.86817837992134,138.976821131214,15490.7,363.8825,16595.02,30
